"LABID","PT","PEN","AMO","MER","TAX","CFT","CFX","PEN_MIC_MM","AMO_MIC_MM","MER_MIC_MM","TAX_MIC_MM","CFT_MIC_MM","CFX_MIC_MM","PEN_MIC_RF","AMO_MIC_RF","MER_MIC_RF","TAX_MIC_RF","CFT_MIC_RF","CFX_MIC_RF","Platform"
"0518-99","2-0-50","0.06","0.03","0.06","0.25",NA,"0.5","0.06","0.06","0.06","0.12",NA,"0.5","0.05","0.05","0.06","0.13","0.5","0.5","HiSeq"
"0525-01","1-0-78","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.04","0.06","0.06","0.5","0.5","HiSeq"
"0536-02","0-0-2","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0545-99","0-0-61","0.03","0.03","0.06","0.25",NA,"1","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.12","0.5","0.61","HiSeq"
"0568-00","0-0-3","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0579-00","19-39-46","0.25","0.25","0.12","0.12",NA,"1","0.25","0.25","0.12","0.12",NA,"1","0.41","0.43","0.14","0.21","0.53","1.38","HiSeq"
"0581-99","0-4-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0584-99","1-2-2","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0586-99","1-2-2","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0588-00","0-0-3","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0602-99","2-6-10","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0605-99","15-12-18","4","2","1","2",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"0635-99","0-0-3","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0648-00","0-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0648-99","38-16-36","2","2","0.5","0.5",NA,"4","4","2","0.5","2",NA,"4","3.35","2.04","0.51","1.25","0.93","3.88","HiSeq"
"0667-00","1-0-54","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.03","0.06","0.06",NA,"0.5","0.05","0.03","0.06","0.07","0.5","0.5","HiSeq"
"0672-00","2-0-0","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0683-00","23-0-139","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.04","0.04","0.06","0.07","0.5","0.5","HiSeq"
"0692-00","41-36-36","2","4","1","1",NA,"4","8","16","2","8",NA,"4","3.47","6.78","1.38","1.13","1.55","3.73","HiSeq"
"0702-00","48-36-8","4","8","1","1",NA,"4","4","8","1","1","2","4","2.98","5.51","1.15","1.05","1.46","3.94","HiSeq"
"0711-00","8-6-86","0.03","0.03","0.06","0.06",NA,"0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.08","0.06","0.06","0.09","0.5","0.5","HiSeq"
"0728-99","0-29-11","0.12","0.12","0.06","0.06",NA,"0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","HiSeq"
"0736-99","25-16-85","2","2","0.5","0.5",NA,"4","0.5","1","0.25","0.25",NA,"1","1.29","1.27","0.45","0.6","0.8","3.14","HiSeq"
"0752-99","15-12-18","4","2","0.5","1",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"0760-99","0-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0761-99","1-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0767-99","15-12-26","4","2","0.5","4",NA,"4","4","2","0.5","1","2","4","3.29","1.69","0.62","5.27","2.42","3.81","HiSeq"
"0769-99","2-0-50","0.25","0.03","0.12","1",NA,"4","0.06","0.06","0.06","0.12",NA,"0.5","0.05","0.05","0.06","0.13","0.5","0.5","HiSeq"
"0811-00","27-36-8","2","4","0.5","1",NA,"1","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"0814-00","12-0-3","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0840-99","1-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0853-99","2-44-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0867-99","12-0-3","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0869-99","12-0-3","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0880-99","1-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0883-99","27-36-8","4","8","2","2",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"0890-99","15-12-18","0.12","0.12","0.06","0.12",NA,"0.5","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"0892-99","1-0-54","0.06","0.03","0.06","0.06",NA,"0.5","0.06","0.03","0.06","0.06",NA,"0.5","0.05","0.03","0.06","0.07","0.5","0.5","HiSeq"
"0934-99","34-41-56","1","1","0.25","0.5",NA,"2","2","1","0.25","0.5","0.5","4","1.69","1.45","0.4","0.79","0.77","3.59","HiSeq"
"0936-99","1-0-60","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.04","0.06","0.06","0.5","0.53","HiSeq"
"0937-00","0-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0939-00","27-36-8","4","8","2","2",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"0939-99","42-42-8","0.5","0.5","0.12","0.12",NA,"1","2","1","0.5","1","1","4","1.63","1.57","0.49","0.68","0.86","2.75","HiSeq"
"0940-00","23-26-2","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"0942-00","27-36-8","8","16","2","2",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"0959-00","0-45-53","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0960-00","15-12-18","4","2","1","1",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"0969-00","0-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0970-00","15-12-18","2","2","0.5","1",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"0977-99","27-36-8","8","8","2","2",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"0983-00","2-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0986-00","2-0-2","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0993-01","12-0-6","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"0995-99","23-26-2","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"1000-99","9-0-3","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1008-00","0-0-2","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1009-99","1-2-2","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1013-99","15-12-18","2","2","0.5","2",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"1014-00","34-41-56","1","1","0.5","0.5",NA,"4","2","1","0.25","0.5","0.5","4","1.69","1.45","0.4","0.79","0.77","3.59","HiSeq"
"1014-99","23-0-59","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.04","0.06","0.06","0.5","0.5","HiSeq"
"1015-00","2-0-50","0.03","0.03",NA,"0.12",NA,"0.5","0.06","0.06","0.06","0.12",NA,"0.5","0.05","0.05","0.06","0.13","0.5","0.5","HiSeq"
"1017-00","25-43-7","0.5","1","0.25","0.25",NA,"1","4","4","1","2",NA,"4","2.52","2.34","0.64","1.06","0.99","3.98","HiSeq"
"1018-00","27-36-8","2","4","1","1",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"1026-98","15-12-18","2",NA,"0.5","1",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"1049-99","1-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1050-00","1-2-12","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1051-98","23-0-2","0.03",NA,NA,NA,NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1057-99","2-4-3","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1058-00","44-4-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.07","0.5","0.52","HiSeq"
"1068-00","27-30-8","1","1","0.5","0.5",NA,"4","8","4","1","8",NA,"4","1.55","1.57","0.44","0.98","0.97","3.58","HiSeq"
"1079-99","1-0-0","0.06","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1081-00","2-0-50","0.06","0.06","0.06","0.25",NA,"0.5","0.06","0.06","0.06","0.12",NA,"0.5","0.05","0.05","0.06","0.13","0.5","0.5","HiSeq"
"1085-00","23-26-34","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1088-00","27-36-8","4","8","2","2",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"1116-99","1-0-0","0.03","0.03",NA,"0.12",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1128-01","23-26-2","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"1131-00","23-6-0","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.04","0.07","0.07","0.5","0.5","HiSeq"
"1148-98","2-0-2","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1160-00","12-2-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"1193-99","23-0-0","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1194-99","2-0-3","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1209-02","8-29-8","0.5","0.25","0.06","0.5",NA,"2","1","0.5","0.12","0.5",NA,"2","0.64","0.37","0.12","0.37","0.53","1.7","HiSeq"
"1220-99","1-4-2","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1226-00","27-36-8","1","2","0.5","1",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"1234-99","23-26-34","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1237-99","0-0-2","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1239-99","23-26-2","0.03","0.03",NA,NA,NA,"0.5","0.06","0.06","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"1240-01","1-2-2","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1265-00","15-12-18","4","2","0.5","2",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
