"LABID","PT","PEN","AMO","MER","TAX","CFT","CFX","PEN_MIC_MM","AMO_MIC_MM","MER_MIC_MM","TAX_MIC_MM","CFT_MIC_MM","CFX_MIC_MM","PEN_MIC_RF","AMO_MIC_RF","MER_MIC_RF","TAX_MIC_RF","CFT_MIC_RF","CFX_MIC_RF","Platform"
"2010206716","0-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010206717","27-30-8","2","4","1","1","1","4","8","4","1","8",NA,"4","1.55","1.57","0.44","0.98","0.97","3.58","HiSeq"
"2010206720","13-11-16","4","8","1","2","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010206726","0-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010206729","13-11-16","2","4","1","2","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010206730","13-11-16","2","4","1","1","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010207737","8-29-11","0.12","0.12","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.17","0.1","0.06","0.06","0.5","0.5","HiSeq"
"2010207743","13-11-16","4","8",NA,"2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010207747","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010207769","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010207959","2-6-10","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208283","29-12-26","8","2","0.5","8","4","4","2","2","0.5","1","1","4","3.14","1.66","0.46","3.86","2.55","3.83","HiSeq"
"2010208292","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208298","23-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208307","13-11-16","8","8","1","2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010208312","0-1-1","0.25","0.06","0.06","0.12","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","HiSeq"
"2010208317","23-4-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208327","33-29-11","0.25","0.12","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.15","0.11","0.06","0.06","0.5","0.5","HiSeq"
"2010208330","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208336","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208337","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208343","0-29-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","HiSeq"
"2010208344","0-4-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208351","13-11-16","8","8","1","2","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010208354","2-4-4","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208358","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208367","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208374","0-0-11","0.06","0.06","0.06","0.06","0.5","0.5","0.06","0.03","0.06","0.06",NA,"0.5","0.06","0.04","0.06","0.06","0.5","0.5","HiSeq"
"2010208390","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208391","8-0-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","HiSeq"
"2010208397","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208407","23-6-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.07","0.5","0.5","HiSeq"
"2010208412","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208415","24-27-28","0.03","0.03","0.06","0.06","0.5","0.5","0.25","0.06","0.06","0.12","0.5","0.5","0.21","0.08","0.06","0.12","0.51","0.5","HiSeq"
"2010208429","13-11-16","8","8","1","2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010208436","0-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208437","13-11-16","8","8","1","2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010208441","1-0-11","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.03","0.06","0.06",NA,"0.5","0.04","0.04","0.06","0.06","0.5","0.5","HiSeq"
"2010208449","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010208464","8-0-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","HiSeq"
"2010208466","8-0-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","HiSeq"
"2010209061","2-4-4","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010209939","2-0-12","0.25",NA,"0.06",NA,"0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.04","0.06","0.09","0.5","0.5","HiSeq"
"2010209941","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010209946","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010209958","13-11-16","8","8","1","2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010209965","19-31-8","0.5","1","0.12","0.25","0.5","2","0.5","0.5","0.12","0.25",NA,"2","0.57","0.62","0.14","0.31","0.56","1.84","HiSeq"
"2010209966","13-11-16","4","8","1","2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010209973","2-4-4","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010209976","2-4-0","0.03","0.06","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010209982","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010209984","0-29-11","0.12","0.12","0.06","0.06","0.5","0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","HiSeq"
"2010209989","8-0-11","0.12","0.12","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","HiSeq"
"2010209992","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010209998","13-11-16","4","8","1","2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010210015","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010210016","1-0-66","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"2010210038","0-1-1","0.25","0.06","0.06","0.06","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","HiSeq"
"2010210051","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216075","13-11-33","8","8","1","8","4","4","2","16","1","4","4","4","3.93","11.2","1.18","8.01","4.45","4","HiSeq"
"2010216081","2-6-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216082","15-12-18","8","2","1","1","2","4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"2010216083","0-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216092","17-1-22","1","0.06","0.06","0.12","0.5","0.5","0.5","0.12","0.12","0.12","0.5","0.5","0.56","0.11","0.11","0.17","0.51","0.54","HiSeq"
"2010216124","13-11-16","8","8","1","4","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010216128","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216137","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216155","11-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216160","13-11-16","8","8","1","2","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010216163","7-8-9","1","1","0.25","0.12","0.5","0.5","0.25","0.06","0.06","0.06","0.5","0.5","0.28","0.25","0.23","0.14","0.56","0.57","HiSeq"
"2010216166","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216179","0-29-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","HiSeq"
"2010216187","23-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216188","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216214","0-29-11","0.25","0.12","0.06","0.06","0.5","0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","HiSeq"
"2010216216","17-15-18","4","0.5","0.25","1","1","4","2","1","0.5","0.5","0.5","4","0.95","0.43","0.17","0.56","0.79","3.24","HiSeq"
"2010216219","13-11-16","8","8",NA,"2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010216221","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216229","0-29-11","0.12","0.12","0.06","0.06","0.5","0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","HiSeq"
"2010216231","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216235","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216243","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216248","8-0-11","0.12","0.03","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","HiSeq"
"2010216251","13-11-16","8","8",NA,"2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010216259","2-0-42","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216266","13-11-16","8","8","1","2","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010216272","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216281","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216283","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216285","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216293","19-31-8","2","1","0.25","0.5","0.5","2","0.5","0.5","0.12","0.25",NA,"2","0.57","0.62","0.14","0.31","0.56","1.84","HiSeq"
"2010216299","0-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216301","1-4-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216304","0-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216317","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010216320","34-32-43","2","1","0.25","0.5","0.5","4","4","4","1","2",NA,"4","1.83","1.74","0.51","0.81","0.91","3.41","HiSeq"
"2010216328","23-6-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.07","0.5","0.5","HiSeq"
"2010216334","8-0-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","HiSeq"
"2010216335","33-29-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.15","0.11","0.06","0.06","0.5","0.5","HiSeq"
"2010216336","17-15-22","0.5","0.06","0.06","0.12","0.5","0.5","0.5","0.5","0.25","0.25",NA,"0.5","0.47","0.09","0.13","0.19","0.53","0.59","HiSeq"
"2010216340","13-14-16","8","8","1","2","2","4","4","8","1","1","1","4","4.64","7.87","0.99","1.73","1.17","3.98","HiSeq"
"2010220049","13-11-33","8","8","1","8","8","4","2","16","1","4","4","4","3.93","11.2","1.18","8.01","4.45","4","HiSeq"
"2010220051","0-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220053","15-12-18","4","2","0.5","2","1","4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"2010220061","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220066","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220067","8-0-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","HiSeq"
"2010220069","36-34-44","0.5","0.25","0.06","0.25","0.5","0.5","0.06","0.03","0.06","0.06",NA,"0.5","0.16","0.07","0.06","0.11","0.5","0.51","HiSeq"
"2010220077","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220088","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220093","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220100","13-11-16","8","8","1","2","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010220104","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220106","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220110","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220116","13-11-16","8","16",NA,"2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010220126","27-11-8","4","8","1","2","1","4","4","8","1","1","2","4","2.93","6.02","1.11","1.18","1.48","3.81","HiSeq"
"2010220131","17-15-22","1","0.12","0.12","0.12","0.5","0.5","0.5","0.5","0.25","0.25",NA,"0.5","0.47","0.09","0.13","0.19","0.53","0.59","HiSeq"
"2010220141","11-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220243","12-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220245","13-11-16","8","8","1","2","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010220270","0-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220276","8-0-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","HiSeq"
"2010220284","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220285","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220292","19-1-24","0.5","0.25","0.06","0.25","0.5","0.5","0.25","0.12","0.06","0.12","0.5","0.5","0.26","0.15","0.06","0.12","0.5","0.51","HiSeq"
"2010220298","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220299","13-11-16","8","8","1","2","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2010220311","4-7-7","2","2","1","1","0.5","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","HiSeq"
"2010220340","37-4-2","0.06","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220349","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010220350","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010223233","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010223244","9-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010223245","17-1-22","0.5","0.06","0.06","0.12","0.5","0.5","0.5","0.12","0.12","0.12","0.5","0.5","0.56","0.11","0.11","0.17","0.51","0.54","HiSeq"
"2010223246","0-29-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","HiSeq"
"2010223249","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010223250","0-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010223273","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010223357","2-4-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2010225288","0-1-1","0.25","0.06","0.06","0.12","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","HiSeq"
"2010225299","0-29-11","0.12","0.12","0.06","0.06","0.5","0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","HiSeq"
"2010226037","0-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2011207503","1-4-21","0.12","0.06","0.06","0.12","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2011212060","0-1-1","0.12","0.06","0.06","0.12","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","HiSeq"
"2011215108","1-4-21","0.06","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2011216577","0-1-1","0.12","0.06","0.06","0.06","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","HiSeq"
"2011218350","2-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2012209214","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2012210256","24-27-8","0.5","0.5","0.12","1","1","4","0.5","0.25","0.12","0.5","0.5","2","0.49","0.25","0.1","0.46","0.63","2.42","HiSeq"
"2012211509","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2012211516","2-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2012211517","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2012211697","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2012211937","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2012211938","13-11-16","8","8",NA,"2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","HiSeq"
"2012211959","7-8-9","0.25","0.5","0.12","0.12","0.5","0.5","0.25","0.06","0.06","0.06","0.5","0.5","0.28","0.25","0.23","0.14","0.56","0.57","HiSeq"
"2012212039","12-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"2012212051","2-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
